island,site,date,type,number,result,ground
rota,calvo,18-Jul-13,disturbed,28,unpredated,n
rota,calvo,18-Jul-13,disturbed,29,predated,n
rota,calvo,18-Jul-13,disturbed,30,unpredated,n
rota,calvo,18-Jul-13,disturbed,31,predated,n
rota,calvo,18-Jul-13,disturbed,32,unpredated,n
rota,calvo,18-Jul-13,disturbed,33,unpredated,n
rota,calvo,18-Jul-13,disturbed,34,unpredated,n
rota,calvo,18-Jul-13,disturbed,35,unpredated,n
rota,calvo,18-Jul-13,disturbed,36,unpredated,n
rota,calvo,18-Jul-13,disturbed,37,unpredated,n
rota,calvo,18-Jul-13,disturbed,38,unpredated,n
rota,calvo,18-Jul-13,disturbed,39,unpredated,n
rota,calvo,18-Jul-13,disturbed,40,unpredated,n
rota,calvo,18-Jul-13,disturbed,41,unpredated,n
rota,calvo,18-Jul-13,disturbed,42,unpredated,n
rota,calvo,18-Jul-13,disturbed,43,predated,n
rota,calvo,18-Jul-13,disturbed,44,missing,n
rota,calvo,18-Jul-13,disturbed,45,missing,n
rota,calvo,18-Jul-13,disturbed,46,unpredated,n
rota,calvo,18-Jul-13,disturbed,47,unpredated,n
rota,calvo,18-Jul-13,disturbed,48,unpredated,n
rota,calvo,18-Jul-13,disturbed,49,unpredated,n
rota,calvo,18-Jul-13,disturbed,50,unpredated,n
rota,calvo,18-Jul-13,disturbed,51,unpredated,n
rota,calvo,18-Jul-13,disturbed,52,unpredated,n
rota,calvo,18-Jul-13,disturbed,53,unpredated,n
rota,calvo,18-Jul-13,disturbed,54,unpredated,n
rota,calvo,18-Jul-13,disturbed,55,unpredated,n
rota,calvo,18-Jul-13,disturbed,56,unpredated,n
rota,calvo,18-Jul-13,disturbed,57,unpredated,n
rota,calvo,18-Jul-13,disturbed,58,unpredated,n
rota,calvo,18-Jul-13,disturbed,59,unpredated,n
rota,calvo,18-Jul-13,disturbed,60,unpredated,n
rota,calvo,18-Jul-13,disturbed,61,predated,n
rota,calvo,18-Jul-13,disturbed,62,unpredated,n
rota,calvo,18-Jul-13,disturbed,63,unpredated,n
rota,calvo,18-Jul-13,disturbed,64,unpredated,n
rota,calvo,18-Jul-13,disturbed,65,unpredated,n
rota,calvo,18-Jul-13,disturbed,66,unpredated,n
rota,calvo,18-Jul-13,disturbed,67,unpredated,n
rota,calvo,18-Jul-13,disturbed,68,missing,n
rota,calvo,18-Jul-13,disturbed,69,unpredated,n
rota,calvo,18-Jul-13,disturbed,70,unpredated,n
rota,calvo,18-Jul-13,disturbed,71,missing,n
rota,calvo,18-Jul-13,disturbed,72,unpredated,n
rota,calvo,18-Jul-13,disturbed,73,unpredated,n
rota,calvo,18-Jul-13,disturbed,74,unpredated,n
rota,calvo,18-Jul-13,disturbed,75,missing,n
rota,calvo,18-Jul-13,disturbed,76,unpredated,n
rota,calvo,18-Jul-13,disturbed,77,predated,n
rota,calvo,18-Jul-13,disturbed,78,unpredated,n
rota,calvo,18-Jul-13,disturbed,79,predated,n
rota,calvo,18-Jul-13,disturbed,80,unpredated,n
rota,calvo,18-Jul-13,disturbed,81,predated,n
rota,calvo,18-Jul-13,disturbed,82,unpredated,n
rota,calvo,18-Jul-13,disturbed,83,missing,n
rota,calvo,18-Jul-13,disturbed,84,unpredated,n
rota,calvo,18-Jul-13,disturbed,85,unpredated,n
rota,calvo,18-Jul-13,disturbed,86,unpredated,n
rota,calvo,18-Jul-13,disturbed,87,unpredated,n
rota,calvo,18-Jul-13,disturbed,88,unpredated,n
rota,calvo,18-Jul-13,disturbed,89,unpredated,n
rota,calvo,18-Jul-13,disturbed,90,unpredated,n
rota,calvo,18-Jul-13,disturbed,91,unpredated,n
rota,calvo,18-Jul-13,disturbed,92,unpredated,n
rota,calvo,18-Jul-13,disturbed,93,unpredated,n
rota,calvo,18-Jul-13,disturbed,94,unpredated,n
rota,calvo,18-Jul-13,disturbed,95,unpredated,n
rota,calvo,18-Jul-13,disturbed,96,unpredated,n
rota,calvo,18-Jul-13,disturbed,97,unpredated,n
rota,calvo,18-Jul-13,disturbed,98,unpredated,n
rota,calvo,18-Jul-13,disturbed,99,unpredated,n
rota,calvo,18-Jul-13,disturbed,100,unpredated,n
rota,calvo,18-Jul-13,disturbed,101,unpredated,n
rota,calvo,18-Jul-13,disturbed,102,unpredated,n
rota,calvo,18-Jul-13,disturbed,103,unpredated,n
rota,calvo,18-Jul-13,disturbed,104,predated,n
rota,calvo,18-Jul-13,disturbed,105,unpredated,n
rota,calvo,18-Jul-13,disturbed,106,unpredated,y
rota,calvo,18-Jul-13,disturbed,107,unpredated,n
rota,calvo,18-Jul-13,disturbed,108,unpredated,n
rota,calvo,18-Jul-13,disturbed,109,unpredated,n
rota,calvo,18-Jul-13,disturbed,110,unpredated,n
rota,calvo,18-Jul-13,disturbed,111,unpredated,n
rota,calvo,18-Jul-13,disturbed,112,unpredated,y
rota,calvo,18-Jul-13,disturbed,113,unpredated,n
rota,calvo,18-Jul-13,disturbed,114,unpredated,n
rota,calvo,18-Jul-13,disturbed,115,unpredated,n
rota,calvo,18-Jul-13,disturbed,116,predated,n
rota,calvo,18-Jul-13,disturbed,117,unpredated,n
rota,calvo,18-Jul-13,disturbed,118,unpredated,n
rota,calvo,18-Jul-13,disturbed,119,unpredated,n
rota,calvo,18-Jul-13,disturbed,120,unpredated,n
rota,calvo,18-Jul-13,disturbed,121,unpredated,n
rota,calvo,18-Jul-13,disturbed,122,unpredated,n
rota,calvo,18-Jul-13,disturbed,123,unpredated,n
rota,calvo,18-Jul-13,disturbed,124,predated,n
rota,calvo,18-Jul-13,disturbed,125,predated,n
rota,calvo,18-Jul-13,disturbed,126,unpredated,n
rota,calvo,18-Jul-13,disturbed,127,unpredated,n
rota,calvo,18-Jul-13,disturbed,128,unpredated,n
rota,calvo,18-Jul-13,disturbed,129,unpredated,n
rota,calvo,18-Jul-13,disturbed,130,unpredated,n
rota,calvo,18-Jul-13,disturbed,131,unpredated,n
rota,calvo,18-Jul-13,disturbed,132,unpredated,n
rota,calvo,18-Jul-13,disturbed,133,predated,n
rota,calvo,18-Jul-13,disturbed,134,unpredated,n
rota,calvo,18-Jul-13,disturbed,135,unpredated,n
rota,calvo,18-Jul-13,disturbed,136,predated,n
rota,calvo,18-Jul-13,disturbed,137,unpredated,n
rota,calvo,18-Jul-13,disturbed,138,unpredated,n
rota,calvo,18-Jul-13,disturbed,139,unpredated,n
rota,calvo,18-Jul-13,disturbed,140,unpredated,n
rota,calvo,18-Jul-13,disturbed,141,unpredated,n
rota,calvo,18-Jul-13,disturbed,142,unpredated,n
rota,calvo,18-Jul-13,disturbed,143,predated,n
rota,calvo,18-Jul-13,disturbed,144,predated,n
rota,calvo,18-Jul-13,disturbed,145,unpredated,n
rota,calvo,18-Jul-13,disturbed,146,unpredated,n
rota,calvo,18-Jul-13,disturbed,147,unpredated,n
rota,calvo,18-Jul-13,disturbed,148,unpredated,n
rota,calvo,18-Jul-13,disturbed,149,unpredated,n
rota,calvo,18-Jul-13,disturbed,150,unpredated,n
rota,grvp,16-Jul-13,native,1,predated,n
rota,grvp,16-Jul-13,native,2,unpredated,n
rota,grvp,16-Jul-13,native,3,unpredated,n
rota,grvp,16-Jul-13,native,4,unpredated,n
rota,grvp,16-Jul-13,native,5,unpredated,n
rota,grvp,16-Jul-13,native,6,unpredated,n
rota,grvp,16-Jul-13,native,7,unpredated,n
rota,grvp,16-Jul-13,native,8,predated,n
rota,grvp,16-Jul-13,native,9,unpredated,n
rota,grvp,16-Jul-13,native,10,predated,n
rota,grvp,16-Jul-13,native,11,unpredated,n
rota,grvp,16-Jul-13,native,12,unpredated,n
rota,grvp,16-Jul-13,native,13,predated,n
rota,grvp,16-Jul-13,native,14,unpredated,n
rota,grvp,16-Jul-13,native,15,unpredated,n
rota,grvp,16-Jul-13,native,16,unpredated,n
rota,grvp,16-Jul-13,native,17,unpredated,n
rota,grvp,16-Jul-13,native,18,unpredated,n
rota,grvp,16-Jul-13,native,19,unpredated,n
rota,grvp,16-Jul-13,native,20,unpredated,y
rota,grvp,16-Jul-13,native,21,unpredated,n
rota,grvp,16-Jul-13,native,22,unpredated,n
rota,grvp,16-Jul-13,native,23,unpredated,n
rota,grvp,16-Jul-13,native,24,unpredated,n
rota,grvp,16-Jul-13,native,25,predated,n
rota,grvp,16-Jul-13,native,26,unpredated,n
rota,grvp,16-Jul-13,native,27,unpredated,n
rota,grvp,16-Jul-13,native,28,predated,n
rota,grvp,16-Jul-13,native,29,unpredated,n
rota,grvp,16-Jul-13,native,30,unpredated,n
rota,grvp,16-Jul-13,native,31,unpredated,n
rota,grvp,16-Jul-13,native,32,unpredated,n
rota,grvp,16-Jul-13,native,33,unpredated,n
rota,grvp,16-Jul-13,native,34,unpredated,n
rota,grvp,16-Jul-13,native,35,predated,n
rota,grvp,16-Jul-13,native,36,unpredated,n
rota,grvp,16-Jul-13,native,37,unpredated,n
rota,grvp,16-Jul-13,native,38,unpredated,n
rota,grvp,16-Jul-13,native,39,unpredated,n
rota,grvp,16-Jul-13,native,40,unpredated,n
rota,grvp,16-Jul-13,native,41,unpredated,n
rota,grvp,16-Jul-13,native,42,unpredated,n
rota,grvp,16-Jul-13,native,43,unpredated,n
rota,grvp,16-Jul-13,native,44,unpredated,n
rota,grvp,16-Jul-13,native,45,unpredated,n
rota,grvp,16-Jul-13,native,46,unpredated,n
rota,grvp,16-Jul-13,native,47,unpredated,n
rota,grvp,16-Jul-13,native,48,unpredated,n
rota,grvp,16-Jul-13,native,49,predated,n
rota,grvp,16-Jul-13,native,50,predated,n
rota,grvp,16-Jul-13,native,51,unpredated,n
rota,grvp,16-Jul-13,native,52,unpredated,n
rota,grvp,16-Jul-13,native,53,unpredated,n
rota,grvp,16-Jul-13,native,54,unpredated,n
rota,grvp,16-Jul-13,native,55,unpredated,n
rota,grvp,16-Jul-13,native,56,missing,n
rota,grvp,16-Jul-13,native,57,unpredated,n
rota,grvp,16-Jul-13,native,58,unpredated,n
rota,grvp,16-Jul-13,native,59,unpredated,n
rota,grvp,16-Jul-13,native,60,unpredated,n
rota,grvp,16-Jul-13,native,61,unpredated,n
rota,grvp,16-Jul-13,native,62,unpredated,n
rota,grvp,16-Jul-13,native,63,unpredated,n
rota,grvp,16-Jul-13,native,64,unpredated,n
