island,site,date,type,number,result,ground
rota,grvp,16-Jul-13,native,101,0,n
rota,grvp,16-Jul-13,native,102,0,n
rota,grvp,16-Jul-13,native,103,0,n
rota,grvp,16-Jul-13,native,104,0,n
rota,grvp,16-Jul-13,native,105,0,n
rota,grvp,16-Jul-13,native,106,0,n
rota,grvp,16-Jul-13,native,107,0,n
rota,grvp,16-Jul-13,native,108,0,n
rota,grvp,16-Jul-13,native,109,0,n
rota,grvp,16-Jul-13,native,110,0,n
rota,grvp,16-Jul-13,native,112,0,n
rota,grvp,16-Jul-13,native,113,0,n
rota,grvp,16-Jul-13,native,114,0,n
rota,grvp,16-Jul-13,native,115,0,n
rota,grvp,16-Jul-13,native,116,0,n
rota,grvp,16-Jul-13,native,117,0,n
rota,grvp,16-Jul-13,native,118,0,n
rota,grvp,16-Jul-13,native,119,0,n
rota,grvp,16-Jul-13,native,120,0,n
rota,grvp,16-Jul-13,native,121,0,n
rota,grvp,16-Jul-13,native,124,0,n
rota,grvp,16-Jul-13,native,125,0,n
rota,grvp,16-Jul-13,native,126,0,n
rota,grvp,16-Jul-13,native,127,0,n
rota,grvp,16-Jul-13,native,128,0,n
rota,grvp,16-Jul-13,native,129,0,n
rota,grvp,16-Jul-13,native,130,0,n
rota,grvp,16-Jul-13,native,131,0,n
rota,grvp,16-Jul-13,native,132,0,n
rota,grvp,16-Jul-13,native,133,0,n
rota,grvp,16-Jul-13,native,135,0,n
rota,grvp,16-Jul-13,native,136,0,n
rota,grvp,16-Jul-13,native,137,0,n
rota,grvp,16-Jul-13,native,138,0,n
rota,grvp,16-Jul-13,native,139,0,n
rota,grvp,16-Jul-13,native,141,0,n
rota,grvp,16-Jul-13,native,142,0,n
rota,grvp,16-Jul-13,native,143,0,n
rota,grvp,16-Jul-13,native,144,0,n
rota,grvp,16-Jul-13,native,145,0,n
rota,grvp,16-Jul-13,native,147,0,n
rota,grvp,16-Jul-13,native,148,0,n
rota,grvp,16-Jul-13,native,149,0,n
rota,grvp,16-Jul-13,native,150,0,n
rota,tweksberry,17-Jul-13,disturbed,2,0,n
rota,tweksberry,17-Jul-13,disturbed,3,0,n
rota,tweksberry,17-Jul-13,disturbed,4,0,n
rota,tweksberry,17-Jul-13,disturbed,5,0,n
rota,tweksberry,17-Jul-13,disturbed,6,0,n
rota,tweksberry,17-Jul-13,disturbed,7,0,n
rota,tweksberry,17-Jul-13,disturbed,8,0,n
rota,tweksberry,17-Jul-13,disturbed,9,0,n
rota,tweksberry,17-Jul-13,disturbed,10,0,n
rota,tweksberry,17-Jul-13,disturbed,14,0,n
rota,tweksberry,17-Jul-13,disturbed,18,0,n
rota,tweksberry,17-Jul-13,disturbed,19,0,n
rota,tweksberry,17-Jul-13,disturbed,20,0,n
rota,tweksberry,17-Jul-13,disturbed,24,0,n
rota,tweksberry,17-Jul-13,disturbed,25,0,n
rota,tweksberry,17-Jul-13,disturbed,27,0,n
rota,tweksberry,17-Jul-13,disturbed,28,0,n
rota,tweksberry,17-Jul-13,disturbed,29,0,n
rota,tweksberry,17-Jul-13,disturbed,30,0,n
rota,tweksberry,17-Jul-13,disturbed,31,0,n
rota,tweksberry,17-Jul-13,disturbed,32,0,n
rota,tweksberry,17-Jul-13,disturbed,34,0,n
rota,tweksberry,17-Jul-13,disturbed,37,0,n
rota,tweksberry,17-Jul-13,disturbed,39,0,n
rota,tweksberry,17-Jul-13,disturbed,41,0,n
rota,tweksberry,17-Jul-13,disturbed,45,0,n
rota,tweksberry,17-Jul-13,disturbed,46,0,n
rota,tweksberry,17-Jul-13,disturbed,47,0,n
rota,tweksberry,17-Jul-13,disturbed,48,0,n
rota,tweksberry,17-Jul-13,disturbed,49,0,n
rota,tweksberry,17-Jul-13,disturbed,51,0,n
rota,tweksberry,17-Jul-13,disturbed,52,0,n
rota,tweksberry,17-Jul-13,disturbed,53,0,n
rota,tweksberry,17-Jul-13,disturbed,54,0,n
rota,tweksberry,17-Jul-13,disturbed,56,0,n
rota,tweksberry,17-Jul-13,disturbed,57,0,n
rota,tweksberry,17-Jul-13,disturbed,58,0,n
rota,tweksberry,17-Jul-13,disturbed,59,0,n
rota,tweksberry,17-Jul-13,disturbed,60,0,n
rota,tweksberry,17-Jul-13,disturbed,62,0,n
rota,tweksberry,17-Jul-13,disturbed,63,0,n
rota,tweksberry,17-Jul-13,disturbed,64,0,n
rota,tweksberry,17-Jul-13,disturbed,65,0,n
rota,tweksberry,17-Jul-13,disturbed,66,0,n
rota,tweksberry,17-Jul-13,disturbed,67,0,n
rota,tweksberry,17-Jul-13,disturbed,71,0,n
rota,tweksberry,17-Jul-13,disturbed,76,0,n
rota,tweksberry,17-Jul-13,disturbed,77,0,n
rota,tweksberry,17-Jul-13,disturbed,78,0,n
rota,tweksberry,17-Jul-13,disturbed,79,0,n
rota,tweksberry,17-Jul-13,disturbed,81,0,n
rota,tweksberry,17-Jul-13,disturbed,83,0,n
rota,tweksberry,17-Jul-13,disturbed,84,0,n
rota,tweksberry,17-Jul-13,disturbed,86,0,n
rota,tweksberry,17-Jul-13,disturbed,87,0,n
rota,tweksberry,17-Jul-13,disturbed,88,0,n
rota,tweksberry,17-Jul-13,disturbed,89,0,n
