island,site,date,type,number,result,ground,predation
rota,grvp,16-Jul-13,native,73,n,n,0
rota,grvp,16-Jul-13,native,75,n,n,0
rota,grvp,16-Jul-13,native,76,n,n,0
rota,grvp,16-Jul-13,native,77,n,n,0
rota,grvp,16-Jul-13,native,78,n,n,0
rota,grvp,16-Jul-13,native,79,n,n,0
rota,grvp,16-Jul-13,native,80,n,n,0
rota,grvp,16-Jul-13,native,82,n,n,0
rota,grvp,16-Jul-13,native,84,n,n,0
rota,grvp,16-Jul-13,native,86,n,n,0
rota,grvp,16-Jul-13,native,88,n,n,0
rota,grvp,16-Jul-13,native,89,n,n,0
rota,grvp,16-Jul-13,native,91,n,n,0
rota,grvp,16-Jul-13,native,92,n,n,0
rota,grvp,16-Jul-13,native,93,n,n,0
rota,grvp,16-Jul-13,native,94,n,n,0
rota,grvp,16-Jul-13,native,95,n,n,0
rota,grvp,16-Jul-13,native,96,n,n,0
rota,grvp,16-Jul-13,native,97,n,n,0
rota,grvp,16-Jul-13,native,98,n,n,0
rota,grvp,16-Jul-13,native,99,n,n,0
rota,grvp,16-Jul-13,native,100,n,n,0
rota,grvp,16-Jul-13,native,101,n,n,0
rota,grvp,16-Jul-13,native,102,n,n,0
rota,grvp,16-Jul-13,native,103,n,n,0
rota,grvp,16-Jul-13,native,104,n,n,0
rota,grvp,16-Jul-13,native,105,n,n,0
rota,grvp,16-Jul-13,native,106,n,n,0
rota,grvp,16-Jul-13,native,107,n,n,0
rota,grvp,16-Jul-13,native,108,n,n,0
rota,grvp,16-Jul-13,native,109,n,n,0
rota,grvp,16-Jul-13,native,110,n,n,0
rota,grvp,16-Jul-13,native,112,n,n,0
rota,grvp,16-Jul-13,native,113,n,n,0
rota,grvp,16-Jul-13,native,114,n,n,0
rota,grvp,16-Jul-13,native,115,n,n,0
rota,grvp,16-Jul-13,native,116,n,n,0
rota,grvp,16-Jul-13,native,117,n,n,0
rota,grvp,16-Jul-13,native,118,n,n,0
rota,grvp,16-Jul-13,native,119,n,n,0
rota,grvp,16-Jul-13,native,120,n,n,0
rota,grvp,16-Jul-13,native,121,n,n,0
rota,grvp,16-Jul-13,native,124,n,n,0
rota,grvp,16-Jul-13,native,125,n,n,0
rota,grvp,16-Jul-13,native,126,n,n,0
rota,grvp,16-Jul-13,native,128,n,n,0
rota,grvp,16-Jul-13,native,129,n,n,0
rota,grvp,16-Jul-13,native,130,n,n,0
rota,grvp,16-Jul-13,native,131,n,n,0
rota,grvp,16-Jul-13,native,132,n,n,0
rota,grvp,16-Jul-13,native,133,n,n,0
rota,grvp,16-Jul-13,native,135,n,n,0
rota,grvp,16-Jul-13,native,136,n,n,0
rota,grvp,16-Jul-13,native,137,n,n,0
rota,grvp,16-Jul-13,native,138,n,n,0
rota,grvp,16-Jul-13,native,139,n,n,0
rota,grvp,16-Jul-13,native,141,n,n,0
rota,grvp,16-Jul-13,native,142,n,n,0
rota,grvp,16-Jul-13,native,143,n,n,0
rota,grvp,16-Jul-13,native,144,n,n,0
rota,grvp,16-Jul-13,native,145,n,n,0
rota,grvp,16-Jul-13,native,147,n,n,0
rota,grvp,16-Jul-13,native,148,n,n,0
rota,grvp,16-Jul-13,native,149,n,n,0
rota,grvp,16-Jul-13,native,150,n,n,0
rota,tweksberry,17-Jul-13,disturbed,2,n,n,0
rota,tweksberry,17-Jul-13,disturbed,3,n,n,0
rota,tweksberry,17-Jul-13,disturbed,4,n,n,0
rota,tweksberry,17-Jul-13,disturbed,5,n,n,0
rota,tweksberry,17-Jul-13,disturbed,6,n,n,0
rota,tweksberry,17-Jul-13,disturbed,7,n,n,0
rota,tweksberry,17-Jul-13,disturbed,8,n,n,0
rota,tweksberry,17-Jul-13,disturbed,9,n,n,0
rota,tweksberry,17-Jul-13,disturbed,10,n,n,0
rota,tweksberry,17-Jul-13,disturbed,14,n,n,0
rota,tweksberry,17-Jul-13,disturbed,18,n,n,0
rota,tweksberry,17-Jul-13,disturbed,19,n,n,0
rota,tweksberry,17-Jul-13,disturbed,20,n,n,0
rota,tweksberry,17-Jul-13,disturbed,24,n,n,0
rota,tweksberry,17-Jul-13,disturbed,25,n,n,0
rota,tweksberry,17-Jul-13,disturbed,27,n,n,0
rota,tweksberry,17-Jul-13,disturbed,28,n,n,0
rota,tweksberry,17-Jul-13,disturbed,29,n,n,0
rota,tweksberry,17-Jul-13,disturbed,30,n,n,0
rota,tweksberry,17-Jul-13,disturbed,31,n,n,0
rota,tweksberry,17-Jul-13,disturbed,32,n,n,0
